;Estómago;Colon;Hígado;Piel;Páncreas;Riñón;Pulmón;Pecho
ENPP2;1;1;1;1;1;1;1;1
LPAR1;-1;-1;-1;-1;1;-1;-1;1
LPAR2;1;-1;-1;-1;-1;-1;1;1
LPAR3;-1;-1;-1;1;-1;-1;1;1
LPAR4;1;-1;-1;-1;1;-1;-1;-1
LPAR5;1;-1;-1;1;1;-1;1;1
LPAR6;1;1;1;1;1;-1;-1;1
ITGAV;-1;1;1;1;1;-1;1;1
ITGA2B;1;1;-1;-1;-1;-1;1;1
ITGA5;1;-1;-1;-1;1;-1;-1;1
ITGA8;1;1;-1;-1;1;-1;1;1
ITGB1;1;1;-1;-1;1;1;-1;1
ITGB3;-1;-1;-1;-1;1;-1;-1;1
ITGB5;-1;-1;-1;1;1;1;-1;1
ITGB6;-1;1;-1;-1;1;-1;1;1
ITGB8;1;1;1;1;1;-1;1;1
PLPP1;-1;-1;-1;1;1;-1;1;1
PLPP2;-1;-1;-1;-1;-1;-1;-1;1
PLPP3;-1;1;-1;-1;1;-1;1;1
