Unnamed: 0;Estómago;Colon;Hígado;Piel;Páncreas;Riñón;Pulmón;Pecho;Cluster;
ENPP2;1;1;1;1;1;1;1;1;0;ENPP2
LPAR6;1;1;1;1;1;-1;-1;1;0;LPAR6
ITGAV;-1;1;1;1;1;-1;1;1;0;ITGAV
ITGB8;1;1;1;1;1;-1;1;1;0;ITGB8
LPAR1;-1;-1;-1;-1;1;-1;-1;1;1;LPAR1
LPAR2;1;-1;-1;-1;-1;-1;1;1;1;LPAR2
LPAR3;-1;-1;-1;1;-1;-1;1;1;1;LPAR3
LPAR4;1;-1;-1;-1;1;-1;-1;-1;1;LPAR4
LPAR5;1;-1;-1;1;1;-1;1;1;1;LPAR5
ITGA2B;1;1;-1;-1;-1;-1;1;1;1;ITGA2B
ITGA5;1;-1;-1;-1;1;-1;-1;1;1;ITGA5
ITGA8;1;1;-1;-1;1;-1;1;1;1;ITGA8
ITGB1;1;1;-1;-1;1;1;-1;1;1;ITGB1
ITGB3;-1;-1;-1;-1;1;-1;-1;1;1;ITGB3
ITGB5;-1;-1;-1;1;1;1;-1;1;1;ITGB5
ITGB6;-1;1;-1;-1;1;-1;1;1;1;ITGB6
PLPP1;-1;-1;-1;1;1;-1;1;1;1;PLPP1
PLPP2;-1;-1;-1;-1;-1;-1;-1;1;1;PLPP2
PLPP3;-1;1;-1;-1;1;-1;1;1;1;PLPP3
