;Pecho;Colon;Riñón;Hígado;Pulmón;Páncreas;Piel;Estómago
ENPP2;1.512396692;2.041322316;0.81818182;-0.151515152;-0.272727272;0.777777776;-0.41818182;0.454545456
ITGA2B;-1;-1;-1;-1;-1;-1;-1;-1
ITGA5;-1;-1;-0.87878788;-1;-1;-1;-1;-0.854545456
ITGA8;-1;-1;-1;-1;-1;-1;-0.87878788;-1
ITGAV;1.18181818;0.58677686;0.575757576;1.666666668;1.06060606;1.424242424;1.909090908;0.696969696
ITGB1;-1;-1;0.309090908;-0.87878788;-0.127272728;0.454545456;-0.735537188;-0.87878788
ITGB3;-1;-1;0.454545456;1.303030304;-1;-0.87878788;-1;-1
ITGB5;1.424242424;0.983471076;1.472727272;0.309090908;0.81818182;0.745454544;1.380165288;0.454545456
ITGB6;-0.151515152;-0.272727272;-0.87878788;-0.87878788;1.06060606;0.6;-1;-0.563636364
ITGB8;0.983471076;1.545454544;0.454545456;0.090909092;0.696969696;1.424242424;0.333333332;1.18181818
LPAR2;1.512396692;1.18181818;-0.206611572;-0.030303028;0.58677686;0.05785124;1.585858588;-0.127272728
LPAR4;-0.867768596;-0.854545456;-0.87878788;-1;-0.393939392;-1;-1;-0.87878788
LPAR5;1.666666668;2.030303028;1.747474748;1.06060606;0.851239668;1.424242424;1.06060606;1.787878788
LPAR6;2.87878788;3;0.58677686;-0.757575756;1.06060606;2.272727272;-1;2.570247936
PLPP1;-1;-0.393939392;-0.603305784;-0.87878788;-0.41818182;-1;-0.563636364;-0.757575756
PLPP2;-0.272727272;0.333333332;0.322314048;-0.272727272;-0.338842976;0.322314048;0.983471076;0.454545456
PLPP3;2.87878788;1.472727272;0.05785124;1.776859504;0.81818182;2.041322316;1.036363636;1.512396692
