;Pecho;Colon;Riñón;Hígado;Pulmón;Páncreas;Estómago;Piel
ENPP2;0.111111112;0.111111112;0;-1;0.333333334;-0.333333334;-1;-0.066666666
ITGA2B;-1;-1;-1;-1;-1;-1;0.333333334;-1
ITGA5;-1;-1;-1;-1;-1;-1;-1;-1
ITGA8;-1;-1;0;-1;-1;-1;-1;-1
ITGAV;-0.333333334;-0.111111112;1;-0.333333334;-1;-0.333333334;0.333333334;-0.866666666
ITGB1;-0.777777778;-0.333333334;0.333333334;-1;-1;-1;-1;-0.733333334
ITGB5;-0.111111112;-0.333333334;0.333333334;0.333333334;0;0;0;-0.066666666
ITGB6;-1;-0.333333334;-0.666666666;-1;-0.333333334;-0.333333334;-0.333333334;-1
ITGB8;-0.333333334;0.111111112;0.666666666;-1;-0.666666666;-0.333333334;0.666666666;0.066666666
LPAR2;0.111111112;0.111111112;-0.333333334;-1;-0.333333334;0;1;-0.6
LPAR5;-0.111111112;0.555555556;0.333333334;-1;-0.333333334;0.333333334;0.333333334;-0.466666666
LPAR6;-0.555555556;-0.777777778;-0.666666666;-0.666666666;-0.333333334;0.333333334;0.666666666;-1
PLPP1;-1;0.555555556;0.333333334;-1;-1;-0.666666666;0;-1
PLPP2;-0.777777778;-0.333333334;-0.333333334;-0.666666666;-1;0.333333334;0;-0.733333334
PLPP3;0.333333334;0.333333334;0.666666666;-0.333333334;0.666666666;0.333333334;1;0.2
